City,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
saint-augustin,51.23,-58.65,32.04,98,100,11.74,CA,1607392189
byron bay,-28.65,153.62,84.99,61,100,14.99,AU,1607391899
fairbanks,64.84,-147.72,3.2,77,75,2.24,US,1607392150
metapan,14.33,-89.45,68.65,79,5,6.46,SV,1607392190
itoman,26.12,127.67,71.6,73,75,9.17,JP,1607392190
daru,-9.08,143.21,82.87,66,99,2.28,PG,1607392190
puerto ayora,-0.74,-90.35,73.99,91,49,8.01,EC,1607392190
nata,8.33,-80.52,75.27,81,100,5.86,PA,1607392190
mar del plata,-38.0,-57.56,64.99,72,0,9.17,AR,1607392191
bull savanna,17.89,-77.59,75.04,85,92,3.67,JM,1607392191
les cayes,18.2,-73.75,74.89,79,41,3.49,HT,1607392191
clyde river,70.47,-68.59,8.6,92,90,4.7,CA,1607392191
hasaki,35.73,140.83,57.0,76,0,4.7,JP,1607392180
kavieng,-2.57,150.8,85.87,65,100,7.34,PG,1607392191
corinth,37.94,22.96,55.99,56,0,5.93,GR,1607392191
meulaboh,4.14,96.13,80.22,76,100,3.27,ID,1607392191
cabedelo,-6.98,-34.83,73.4,94,20,4.7,BR,1607392191
kindu,-2.95,25.95,70.5,98,100,3.87,CD,1607392192
clarence town,-32.58,151.78,75.0,37,20,20.8,AU,1607392192
hay river,60.82,-115.8,21.2,85,100,1.12,CA,1607392192
kang,-23.68,22.79,72.77,64,0,17.13,BW,1607392192
pleasanton,37.66,-121.87,64.0,25,1,5.82,US,1607392091
half moon bay,37.46,-122.43,68.0,20,1,4.7,US,1607392192
manacapuru,-3.3,-60.62,73.4,100,20,3.76,BR,1607392192
hermanus,-34.42,19.23,63.0,96,97,5.75,ZA,1607392192
constitucion,-35.33,-72.42,51.89,88,23,6.64,CL,1607392192
yatou,37.15,122.38,35.92,75,27,6.33,CN,1607392192
solwezi,-12.17,26.39,61.79,97,100,2.21,ZM,1607392193
port alfred,-33.59,26.89,69.21,85,0,15.08,ZA,1607392193
kidal,18.44,1.41,69.06,34,5,9.24,ML,1607392193
ponta do sol,32.67,-17.1,59.0,77,20,4.7,PT,1607392172
albany,42.6,-73.97,30.0,62,100,7.31,US,1607392193
sao filipe,14.9,-24.5,75.43,75,100,12.73,CV,1607392193
katsuura,35.13,140.3,62.01,54,20,6.93,JP,1607392193
vuktyl,63.86,57.31,28.44,99,100,7.92,RU,1607392193
chernyshevskiy,63.01,112.47,-13.61,90,100,4.12,RU,1607392193
santona,43.44,-3.46,51.01,93,90,26.4,ES,1607392194
novobelokatay,55.71,58.95,13.69,95,85,7.78,RU,1607392194
mahebourg,-20.41,57.7,73.4,88,20,8.05,MU,1607391972
machachi,-0.5,-78.57,57.2,81,75,11.41,EC,1607392194
tondano,1.3,124.91,86.0,74,20,2.24,ID,1607392194
cape town,-33.93,18.42,64.4,93,75,9.17,ZA,1607391938
qaanaaq,77.48,-69.36,-4.99,85,66,3.78,GL,1607392194
shakhtinsk,49.71,72.59,-18.4,75,0,2.24,KZ,1607392194
torbay,47.67,-52.73,39.99,93,75,11.41,CA,1607392194
bethel,41.37,-73.41,30.2,63,1,9.17,US,1607392195
khatanga,71.97,102.5,-9.98,91,100,7.45,RU,1607392195
ulaanbaatar,47.91,106.88,-29.2,60,0,2.24,MN,1607392040
victoria,22.29,114.16,66.99,63,7,1.01,HK,1607392093
arraial do cabo,-22.97,-42.03,74.44,92,100,19.84,BR,1607391941
ciudad real,39.0,-4.0,48.0,88,97,10.0,ES,1607392195
cam ranh,11.92,109.16,78.8,69,75,12.75,VN,1607392195
bluff,-46.6,168.33,64.0,64,7,17.0,NZ,1607392195
tuatapere,-46.13,167.68,64.0,64,0,17.0,NZ,1607392195
santa isabel do rio negro,-0.41,-65.02,74.3,97,100,2.59,BR,1607392196
banes,20.96,-75.72,75.2,88,20,6.93,CU,1607392196
mayya,61.73,130.28,-40.0,65,90,4.47,RU,1607392196
avera,33.19,-82.53,42.8,70,1,9.17,US,1607392196
aburi,5.85,-0.18,78.8,83,75,8.05,GH,1607392196
kavaratti,10.57,72.64,83.21,76,29,16.93,IN,1607392196
voineasa,44.28,24.13,33.01,99,90,12.75,RO,1607392196
iralaya,15.0,-83.23,76.75,87,79,9.01,HN,1607392196
sherkot,29.35,78.58,57.24,56,58,3.47,IN,1607392196
huainan,32.63,117.0,43.63,70,94,9.91,CN,1607392197
nanortalik,60.14,-45.24,31.48,90,100,9.35,GL,1607392197
bengkulu,-3.8,102.27,82.35,68,83,4.09,ID,1607392197
hobart,-42.88,147.33,62.6,39,75,21.92,AU,1607392138
tsiroanomandidy,-18.77,46.03,67.68,93,17,1.19,MG,1607392197
san patricio,28.02,-97.52,55.99,62,20,6.93,US,1607392197
geraldton,-28.77,114.6,104.0,17,0,19.46,AU,1607392197
chuy,-33.7,-53.46,60.96,88,51,6.89,UY,1607392197
liverpool,53.41,-2.98,39.99,93,100,5.82,GB,1607392008
souillac,-20.52,57.52,73.4,88,20,8.05,MU,1607392173
jiangkou,25.49,119.2,59.0,82,90,8.95,CN,1607392198
port-cartier,50.03,-66.87,28.4,68,98,12.75,CA,1607392198
cravo norte,6.3,-70.2,76.46,88,100,5.1,CO,1607392198
broken hill,-31.95,141.43,64.4,34,0,13.87,AU,1607392198
banyuwangi,-8.23,114.36,85.89,64,98,1.28,ID,1607391926
komsomolskiy,40.43,71.72,32.0,91,75,0.16,UZ,1607392198
kaduy,59.2,37.15,17.13,94,1,5.61,RU,1607392198
yar-sale,66.83,70.83,-2.72,84,0,8.03,RU,1607392199
channel-port aux basques,47.57,-59.14,38.7,88,100,11.05,CA,1607392199
bandarbeyla,9.49,50.81,74.55,76,58,14.7,SO,1607392199
bose,45.46,8.01,39.99,96,100,4.36,IT,1607392199
coquimbo,-29.95,-71.34,57.2,82,22,6.93,CL,1607392194
longyearbyen,78.22,15.64,21.2,62,40,17.22,SJ,1607392199
nioro,13.35,-15.75,73.36,36,100,5.97,GM,1607392199
leningradskiy,69.38,178.42,7.21,85,16,4.21,RU,1607392199
kattivakkam,13.22,80.32,77.0,94,75,11.32,IN,1607392199
yellowknife,62.46,-114.35,10.4,85,20,8.05,CA,1607391904
turukhansk,65.82,87.98,-18.11,87,100,13.71,RU,1607392200
malaya serdoba,52.47,44.95,16.84,90,0,8.68,RU,1607392200
arlit,18.74,7.39,72.9,24,61,5.01,NE,1607392200
jamestown,42.1,-79.24,30.0,74,90,8.05,US,1607392159
havre-saint-pierre,50.23,-63.6,32.0,91,90,10.29,CA,1607392200
tuktoyaktuk,69.45,-133.04,3.2,84,90,5.82,CA,1607392200
imbituba,-28.24,-48.67,69.8,94,75,2.24,BR,1607392200
saint-pierre,-21.34,55.48,75.2,69,0,3.36,RE,1607392201
nikolskoye,59.7,30.79,24.01,73,0,8.95,RU,1607392201
pashiya,58.43,58.26,17.26,96,100,5.88,RU,1607392201
fortuna,40.6,-124.16,51.01,79,83,1.01,US,1607392203
pirmasens,49.2,7.61,34.0,100,75,5.82,DE,1607392203
kailua,21.4,-157.74,80.6,65,40,12.75,US,1607392203
hithadhoo,-0.6,73.08,82.17,77,85,12.82,MV,1607392203
sehwan,26.43,67.86,53.6,93,0,3.58,PK,1607392203
bafq,31.61,55.41,44.02,72,56,3.6,IR,1607392204
guayaquil,-2.17,-79.9,78.8,69,75,14.99,EC,1607392204
mackay,-21.15,149.2,87.8,62,40,11.41,AU,1607392204
puerto leguizamo,-0.19,-74.78,72.75,98,100,2.51,CO,1607392204
chingirlau,51.09,54.08,7.86,92,0,5.84,KZ,1607392204
nemuro,43.32,145.57,35.6,55,20,10.29,JP,1607392204
murray bridge,-35.12,139.27,64.0,56,52,1.01,AU,1607392204
urambo,-5.07,32.05,64.36,94,0,1.14,TZ,1607392204
tiznit,29.58,-9.5,52.32,66,0,2.82,MA,1607392205
rondonopolis,-16.47,-54.64,75.47,78,38,1.74,BR,1607392103
skjervoy,70.03,20.97,32.29,88,100,9.28,NO,1607392205
uige,-7.61,15.06,65.28,94,78,1.19,AO,1607392205
segou,13.43,-6.22,74.17,29,10,11.01,ML,1607392205
ofunato,39.07,141.72,41.0,80,75,3.36,JP,1607392205
sarankhola,22.31,89.79,69.01,66,0,2.95,BD,1607392205
tura,25.52,90.22,64.56,75,2,2.71,IN,1607392205
banda aceh,5.56,95.32,80.38,80,57,10.58,ID,1607392005
portland,45.52,-122.68,46.99,70,90,9.17,US,1607392076
richards bay,-28.78,32.04,70.07,85,0,9.82,ZA,1607392206
kapaa,22.08,-159.32,82.4,69,40,13.87,US,1607392184
rapid valley,44.06,-103.15,44.6,26,1,4.7,US,1607392206
nantucket,41.28,-70.1,35.01,69,20,8.05,US,1607392172
la ronge,55.1,-105.28,41.0,56,84,5.82,CA,1607392206
port lincoln,-34.73,135.87,61.36,53,42,8.72,AU,1607392206
miyako,39.64,141.95,45.99,54,0,11.61,JP,1607392206
lorengau,-2.02,147.27,86.5,64,92,7.52,PG,1607392206
almaznyy,48.04,40.05,14.0,78,20,17.9,RU,1607392207
bonavista,48.65,-53.11,41.0,100,84,4.7,CA,1607392207
aswan,24.09,32.91,64.26,34,0,1.88,EG,1607392207
analipsis,35.32,25.57,55.99,81,20,5.82,GR,1607392207
tasiilaq,65.61,-37.64,15.8,61,0,3.36,GL,1607392207
carnarvon,-24.87,113.63,80.6,65,0,9.17,AU,1607392174
cherskiy,68.75,161.3,-11.74,90,100,7.05,RU,1607392208
sakakah,29.97,40.21,50.0,57,0,6.93,SA,1607392208
odweyne,9.41,45.06,65.75,73,0,12.21,SO,1607392208
pangnirtung,66.15,-65.71,17.11,87,100,2.57,CA,1607392208
rafai,4.95,23.92,69.06,48,84,1.12,CF,1607392208
atyrau,47.12,51.88,5.0,84,0,2.24,KZ,1607392200
portree,57.41,-6.19,42.01,89,100,24.0,GB,1607392208
aksarka,66.56,67.8,-2.7,83,0,4.29,RU,1607392209
san rafael,-34.62,-68.33,79.39,30,0,13.98,AR,1607392209
lagoa,39.05,-27.98,59.86,72,100,12.66,PT,1607392209
pimentel,-6.84,-79.93,66.74,84,100,12.82,PE,1607392209
fare,-16.7,-151.02,80.53,76,65,11.97,PF,1607392209
olafsvik,64.89,-23.71,34.07,95,100,5.95,IS,1607392209
magalia,39.81,-121.58,66.2,24,0,11.41,US,1607392209
lompoc,34.64,-120.46,73.4,13,1,8.05,US,1607392209
lata,40.16,-8.33,52.0,91,77,8.99,PT,1607392209
hobe sound,27.06,-80.14,61.0,82,1,13.87,US,1607392210
kimberley,-28.73,24.76,68.0,72,9,8.05,ZA,1607392210
bambous virieux,-20.34,57.76,75.0,88,20,8.05,MU,1607392210
abilene,32.45,-99.73,55.4,35,1,4.7,US,1607392090
marawi,8.0,124.29,84.0,79,0,3.0,PH,1607392210
faanui,-16.48,-151.75,80.13,78,86,11.52,PF,1607392210
udachnyy,66.42,112.4,-18.4,75,75,4.47,RU,1607392210
kaabong,3.48,34.15,66.61,72,0,11.21,UG,1607392210
mackenzie,55.3,-123.17,41.0,60,90,11.41,CA,1607392211
hovd,48.01,91.64,0.86,83,0,1.77,MN,1607392211
dikson,73.51,80.55,-6.57,93,94,2.75,RU,1607392211
pilot butte,50.47,-104.42,32.0,85,100,5.82,CA,1607392211
alofi,-19.06,-169.92,84.2,74,75,16.11,NU,1607392211
tower,51.92,-8.6,35.01,91,20,12.75,IE,1607392211
marystown,47.17,-55.15,40.32,84,98,16.62,CA,1607392211
grindavik,63.84,-22.43,37.4,100,90,13.87,IS,1607392211
saskylakh,71.92,114.08,-15.79,87,99,2.98,RU,1607392211
palu,-0.89,119.87,91.65,49,54,1.52,ID,1607392211
pisco,-13.7,-76.22,66.99,88,0,6.93,PE,1607392212
namibe,-15.2,12.15,66.06,74,15,10.11,AO,1607392212
praya,14.92,-23.51,73.4,73,75,12.75,CV,1607392212
zhigansk,66.77,123.37,-28.17,86,80,2.1,RU,1607392212
orlovskiy,46.87,42.06,18.03,85,0,17.6,RU,1607392212
ust-nera,64.57,143.2,-30.05,74,88,2.1,RU,1607392212
kruisfontein,-34.0,24.73,64.0,96,1,7.09,ZA,1607392212
georgetown,5.41,100.34,80.6,83,20,5.82,MY,1607392212
rio gallegos,-51.62,-69.22,59.0,62,40,12.75,AR,1607392212
niamey,13.51,2.11,77.0,27,0,2.24,NE,1607392213
nanfeng,23.74,111.8,56.79,54,0,4.38,CN,1607392213
atbasar,51.8,68.33,1.22,91,1,10.47,KZ,1607392022
praxedis guerrero,31.37,-106.02,55.4,20,75,7.38,MX,1607392213
gravdal,68.12,13.5,37.35,79,100,11.68,NO,1607392213
nyrob,60.73,56.72,24.28,98,100,4.09,RU,1607392213
upernavik,72.79,-56.15,19.0,96,100,4.5,GL,1607392213
bundaberg,-24.85,152.35,87.01,66,90,6.93,AU,1607392035
kahului,20.89,-156.47,82.4,65,40,26.4,US,1607392214
leshukonskoye,64.9,45.76,30.13,98,100,8.84,RU,1607392214
mapastepec,15.43,-92.9,76.87,65,0,5.59,MX,1607392214
fougeres,48.35,-1.2,37.4,93,0,10.29,FR,1607392214
mehamn,71.04,27.85,29.8,95,74,14.61,NO,1607392214
puteyets,65.17,57.09,33.1,97,100,4.09,RU,1607392214
margate,51.38,1.39,42.01,90,98,1.28,GB,1607392214
khowst,33.38,69.88,46.47,84,100,2.33,AF,1607392214
san cristobal,7.77,-72.22,65.57,88,100,1.66,VE,1607392214
cap malheureux,-19.98,57.61,75.0,82,1,3.0,MU,1607392215
kodiak,57.79,-152.41,41.0,80,90,8.05,US,1607392097
laramie,41.31,-105.59,41.0,45,1,9.17,US,1607392215
preobrazheniye,42.9,133.91,22.86,78,0,8.39,RU,1607392215
carmo do paranaiba,-19.0,-46.32,66.99,100,100,3.18,BR,1607392215
atasu,48.68,71.64,5.25,87,0,3.09,KZ,1607392215
mitsamiouli,-11.38,43.28,80.47,66,68,3.62,KM,1607392215
port hedland,-20.32,118.57,89.6,49,40,26.4,AU,1607392215
kaeo,-35.1,173.78,81.0,64,3,8.99,NZ,1607392216
parabel,58.7,81.48,13.1,96,100,10.58,RU,1607392216
meiganga,6.52,14.3,67.42,35,94,4.68,CM,1607392216
xichang,27.9,102.26,48.83,66,37,1.68,CN,1607392216
rumonge,-3.97,29.44,71.4,72,77,2.93,BI,1607392216
mecca,21.43,39.83,71.51,28,0,6.71,SA,1607392216
uthal,25.81,66.62,66.33,65,0,1.28,PK,1607392216
opuwo,-18.06,13.84,66.76,24,9,5.73,NA,1607392217
husavik,66.04,-17.34,26.6,68,0,6.93,IS,1607392217
whitehorse,60.72,-135.05,32.0,94,75,18.34,CA,1607392217
kichera,55.94,110.1,14.95,91,100,5.91,RU,1607392217
killybegs,54.63,-8.45,43.2,79,57,10.87,IE,1607392217
akdepe,42.06,59.38,6.8,77,0,6.93,TM,1607392217
tabuk,17.42,121.44,78.08,86,100,1.03,PH,1607392217
vostok,46.49,135.88,6.35,92,100,8.05,RU,1607392217
ust-kut,56.79,105.77,18.84,94,100,12.46,RU,1607392217
beloha,-25.17,45.05,63.37,80,0,11.25,MG,1607392218
kulunda,52.57,78.94,7.39,93,100,14.14,RU,1607392218
kalininaul,43.07,46.57,30.11,93,23,3.02,RU,1607392218
vung tau,10.35,107.08,79.72,72,3,1.86,VN,1607392218
tomatlan,19.93,-105.25,71.83,78,30,2.04,MX,1607392218
ocos,14.51,-92.19,78.8,100,75,3.69,GT,1607392218
jardim,-21.48,-56.14,72.1,76,0,1.97,BR,1607392218
puerto baquerizo moreno,-0.9,-89.6,72.72,88,57,12.35,EC,1607392218
miandoab,36.97,46.1,28.63,94,0,5.61,IR,1607392219
vernon,50.26,-119.27,37.0,81,100,1.12,CA,1607392219
makakilo city,21.35,-158.09,84.2,65,90,8.05,US,1607392004
abdanan,32.99,47.42,45.57,63,0,4.03,IR,1607392219
fort nelson,58.81,-122.7,19.4,100,75,3.98,CA,1607392219
kununurra,-15.77,128.73,89.6,59,85,8.05,AU,1607392019
koungou,-12.73,45.2,78.8,83,0,3.36,YT,1607392219
erenhot,43.65,111.98,3.42,88,0,8.63,CN,1607392219
yugorsk,61.31,63.33,20.68,97,24,5.82,RU,1607392219
talnakh,69.49,88.4,-14.8,75,90,31.32,RU,1607392215
palencia,42.42,-4.5,35.01,81,1,7.0,ES,1607392220
fonte boa,-2.5,-66.27,74.28,96,100,2.77,BR,1607392220
petropavlovsk-kamchatskiy,53.05,158.65,14.0,72,0,8.95,RU,1607392220
niono,14.25,-5.99,73.13,31,0,12.17,ML,1607392220
celestun,20.87,-90.4,71.11,71,22,12.75,MX,1607392220
viedma,-40.81,-63.0,82.99,24,100,5.99,AR,1607392220
krutikha,53.96,81.21,8.19,94,100,10.67,RU,1607392220
buraydah,26.33,43.98,50.0,100,0,2.24,SA,1607392220
dicabisagan,17.08,122.42,82.69,77,95,4.7,PH,1607392220
sitka,57.05,-135.33,46.4,75,90,16.11,US,1607392220
shahrud,36.42,54.98,33.03,90,26,2.08,IR,1607392221
shubarshi,48.59,57.19,5.92,90,0,1.92,KZ,1607392221
sistranda,63.73,8.83,44.6,65,0,23.04,NO,1607392221
jalu,29.03,21.55,49.64,50,0,4.74,LY,1607392221
chimbote,-9.09,-78.58,67.37,83,100,7.67,PE,1607392221
agadez,19.75,10.25,67.12,26,0,3.85,NE,1607392221
praia da vitoria,38.73,-27.07,59.0,77,75,7.43,PT,1607392221
milledgeville,33.08,-83.23,39.99,74,0,1.01,US,1607392221
bafoulabe,13.81,-10.83,73.96,31,0,3.8,ML,1607392222
sulina,45.16,29.65,44.82,86,99,17.6,RO,1607392222
sorland,67.67,12.69,40.14,78,100,21.3,NO,1607392222
yulara,-25.24,130.99,84.2,16,0,13.87,AU,1607392222
qasigiannguit,68.82,-51.19,24.8,73,93,14.99,GL,1607392222
kollam,8.88,76.6,78.8,83,40,2.24,IN,1607392149
inhambane,-23.86,35.38,74.16,75,98,11.95,MZ,1607392222
conceicao do araguaia,-8.26,-49.26,77.18,79,100,0.72,BR,1607392222
maniitsoq,65.42,-52.9,22.98,89,56,9.91,GL,1607392222
okha,53.57,142.95,14.7,95,100,15.03,RU,1607392223
calvinia,-31.47,19.78,59.22,63,87,3.74,ZA,1607392223
taoudenni,22.68,-3.98,58.98,33,8,14.56,ML,1607392223
vangaindrano,-23.35,47.6,70.21,89,83,10.38,MG,1607392223
bartica,6.4,-58.62,77.0,94,20,4.7,GY,1607392223
matiri,-10.75,34.9,63.28,87,50,3.49,TZ,1607392223
ciudad bolivar,8.12,-63.55,78.28,75,100,10.13,VE,1607392223
matara,5.95,80.54,79.0,82,0,3.76,LK,1607392223
hue,16.47,107.6,68.0,100,75,2.24,VN,1607392224
sola,-13.88,167.55,82.45,73,97,4.23,VU,1607392224
zeya,53.75,127.27,1.35,86,5,2.42,RU,1607392224
traralgon,-38.18,146.53,61.0,53,94,5.99,AU,1607392224
surgut,61.25,73.42,21.2,92,75,8.95,RU,1607392224
baffa,34.44,73.22,51.04,78,100,1.88,PK,1607392224
khokhryaki,56.92,53.32,12.0,84,0,3.0,RU,1607392224
kathu,7.92,98.33,82.99,83,20,5.82,TH,1607392225
gat,31.61,34.76,61.0,58,0,1.01,IL,1607391963
provideniya,64.38,-173.3,14.0,66,0,4.47,RU,1607392225
mukhen,48.1,136.1,13.01,86,97,13.22,RU,1607392225
college,64.86,-147.8,3.2,77,75,5.82,US,1607392225
cockburn town,21.46,-71.14,77.0,73,40,4.7,TC,1607392224
klaksvik,62.23,-6.59,37.4,74,100,10.29,FO,1607392193
port elizabeth,-33.92,25.57,66.2,100,75,8.05,ZA,1607392224
moose jaw,50.4,-105.53,39.2,69,100,12.75,CA,1607392225
kilindoni,-7.91,39.67,80.91,75,2,7.54,TZ,1607392225
ambunti,-4.24,142.84,89.17,65,75,1.72,PG,1607392226
brae,60.4,-1.35,46.4,93,100,26.4,GB,1607392226
tawala,9.55,123.77,84.2,79,40,4.7,PH,1607392226
walvis bay,-22.96,14.51,62.01,89,0,6.82,NA,1607392226
caravelas,-17.71,-39.25,75.45,81,0,8.43,BR,1607392226
logan,41.74,-111.83,30.0,58,1,4.07,US,1607392026
henties bay,-22.12,14.28,62.01,89,15,4.27,NA,1607392226
yuryevets,57.32,43.1,20.61,90,18,6.15,RU,1607392226
isangel,-19.55,169.27,84.2,79,75,5.82,VU,1607392227
wucheng,29.6,118.17,49.87,75,95,3.47,CN,1607392227
comodoro rivadavia,-45.87,-67.5,64.4,55,0,4.7,AR,1607392227
los llanos de aridane,28.66,-17.92,64.4,72,75,8.05,ES,1607392227
coahuayana,18.73,-103.68,75.06,79,37,1.7,MX,1607392227
ginda,30.69,78.49,50.97,41,100,3.69,IN,1607392227
karratha,-20.74,116.85,85.59,61,96,17.63,AU,1607392227
sutto,47.76,18.45,39.99,100,90,13.87,HU,1607392228
pasaje,-3.33,-79.82,74.52,79,91,0.94,EC,1607392228
seoul,37.57,126.98,33.8,43,1,4.61,KR,1607392000
dhanwar,24.42,85.98,64.6,55,0,1.72,IN,1607392228
aktau,43.65,51.2,8.6,78,0,15.66,KZ,1607392228
deogarh,21.53,84.73,66.52,51,0,1.07,IN,1607392228
codrington,-38.27,141.97,59.29,62,44,16.26,AU,1607392228
lasa,46.62,10.7,34.0,100,75,9.17,IT,1607392228
ayagoz,47.97,80.44,-0.02,88,0,1.1,KZ,1607392228
dauphin,51.15,-100.05,39.2,82,1,14.99,CA,1607392228
el retorno,2.33,-72.63,74.14,93,100,1.34,CO,1607392229
wittmund,53.57,7.78,39.2,93,96,4.7,DE,1607392229
machinga,-15.17,35.3,69.73,94,100,3.4,MW,1607392229
chara,56.91,118.26,-1.25,79,87,2.26,RU,1607392229
jiwani,25.05,61.74,74.34,77,0,2.59,PK,1607392229
hurghada,27.26,33.81,64.4,77,0,5.82,EG,1607392229
muravlenko,63.79,74.52,-7.28,86,0,9.55,RU,1607392229
sao francisco,-15.95,-44.86,71.35,86,53,3.24,BR,1607392229
port hardy,50.7,-127.42,48.2,93,90,20.8,CA,1607392230
mersing,2.43,103.84,82.4,83,40,6.93,MY,1607392230
dwarka,22.24,68.97,74.62,55,6,7.0,IN,1607392230
horconcitos,8.47,-81.8,67.41,90,78,6.11,PA,1607392230
napoleon,41.39,-84.13,32.0,92,90,3.36,US,1607391945
ust-koksa,50.27,85.61,6.17,80,100,1.25,RU,1607392230
praia,14.92,-23.51,73.4,73,75,12.75,CV,1607392230
cururupu,-1.83,-44.87,76.93,87,95,3.38,BR,1607392230
norman wells,65.28,-126.83,-9.4,83,40,3.98,CA,1607392230
matagami,49.75,-77.63,5.0,92,75,6.93,CA,1607392230
lima,-12.04,-77.03,66.2,82,75,11.41,PE,1607392058
shimanovsk,52.0,127.7,5.36,88,0,7.45,RU,1607392231
